"Word Type","Model","Predictor","Estimate","SE","df","t","p"
"Real","Low Finger Switch","speed:lrswitch:rha","0.000235671189517257","0.000608210559279313","35670","0.387482897035709","0.698401056083166"
"Real","Low Finger Switch","speed:lowfingerswitch:rha","-6.69805752643831e-05","0.000307451990481271","35670","-0.217857022683557","0.827541759927841"
"Real","Low Finger Switch","lrswitch:lowfingerswitch:rha","-0.00931044756440185","0.0018623989085241","35670","-4.99916936258307","5.78502448978226e-07"
"Real","Low Finger Switch","speed:lrswitch:lowfingerswitch:rha","-9.08541241310313e-05","0.000138239171013836","35670","-0.657224167829665","0.51104102844414"
"Real","Average Finger Switch","(Intercept)","4.70786835515368","0.0709210546742998","35670","66.3818153406524","0"
"Real","Average Finger Switch","letterfreq","0.112627318025636","0.0109626782840339","35670","10.2737045736047","1.00230141358581e-24"
"Real","Average Finger Switch","speed","0.00158567921934961","0.00227084264524622","604","0.698277893745333","0.485272165956639"
"Real","Average Finger Switch","lrswitch","0.0422273082135168","0.0135685678636941","35670","3.11214187360966","0.0018588189146448"
"Real","Average Finger Switch","fingerswitch","-0.0896978107118459","0.0125660978510578","35670","-7.13807991748968","9.64480079344802e-13"
"Real","Average Finger Switch","rha","0.0645670626034571","0.00919389661512428","35670","7.02281799615214","2.21324157311413e-12"
"Real","Average Finger Switch","speed:lrswitch","-0.00121133070572038","0.00100405344959791","35670","-1.20644046012239","0.227655704713078"
"Real","Average Finger Switch","speed:fingerswitch","0.00241879804046031","0.000931315720938922","35670","2.59718373273218","0.00940302180167936"
"Real","Average Finger Switch","lrswitch:fingerswitch","0.00689295940280444","0.00459738422814312","35670","1.49932201894478","0.133798962766881"
"Real","Average Finger Switch","speed:rha","0.000373862377313285","0.000654366316207837","35670","0.571334997008833","0.567776182588408"
"Real","Average Finger Switch","lrswitch:rha","-0.0023194554933773","0.00613705556328143","35670","-0.377942723421769","0.705475392421173"
"Real","Average Finger Switch","fingerswitch:rha","0.00574026322735755","0.00416782037240988","35670","1.37728181985887","0.168433775970334"
"Real","Average Finger Switch","speed:lrswitch:fingerswitch","-0.000909650645945019","0.000347480770299711","35670","-2.61784456492491","0.0088524466763956"
"Real","Average Finger Switch","speed:lrswitch:rha","7.85310743858983e-05","0.000460501920475212","35670","0.170533652291523","0.864591438458931"
"Real","Average Finger Switch","speed:fingerswitch:rha","-6.69805752643801e-05","0.000307451990481271","35670","-0.217857022683547","0.827541759927849"
"Real","Average Finger Switch","lrswitch:fingerswitch:rha","-0.00931044756440196","0.00186239890852411","35670","-4.99916936258313","5.78502448978062e-07"
"Real","Average Finger Switch","speed:lrswitch:fingerswitch:rha","-9.0854124131029e-05","0.000138239171013836","35670","-0.657224167829649","0.51104102844415"
"Real","High Finger Switch","(Intercept)","4.55272818472001","0.0781617772608893","35670","58.2475008151857","0"
"Real","High Finger Switch","letterfreq","0.112627318025635","0.0109626782840339","35670","10.2737045736046","1.0023014135862e-24"
"Real","High Finger Switch","speed","0.00576920094929619","0.00291327439628214","604","1.98031498737596","0.0481214809343815"
"Real","High Finger Switch","lrswitch","0.0541492814262059","0.0144920808290304","35670","3.73647387597608","0.000186909624615112"
"Real","High Finger Switch","highfingerswitch","-0.0896978107118461","0.0125660978510578","35670","-7.13807991748969","9.6448007934476e-13"
"Real","High Finger Switch","rha","0.0744953474563306","0.00851733693141377","35670","8.74631919063524","2.29884830396778e-18"
"Real","High Finger Switch","speed:lrswitch","-0.00278465066890621","0.0010837840233353","35670","-2.56937785476536","0.0101921555123502"
"Real","High Finger Switch","speed:highfingerswitch","0.00241879804046031","0.000931315720938922","35670","2.59718373273218","0.00940302180167942"
