word,V.Mean.Sum,LR_switch,finger_switch,rha,word_length,letter_freq,hand_c,finger_c,rha_c
lap,5.89,2,2,1,3,4.707,-1.056199305,-3.521364426,2.083357474
lay,6.18,2,2,1,3,4.722,-1.056199305,-3.521364426,2.083357474
man,5.42,2,2,1,3,5.774,-1.056199305,-3.521364426,2.083357474
map,5.81,2,2,1,3,4.167333333,-1.056199305,-3.521364426,2.083357474
may,5.55,2,2,1,3,4.182333333,-1.056199305,-3.521364426,2.083357474
nap,6.53,2,2,1,3,5.615,-1.056199305,-3.521364426,2.083357474
oak,6.47,2,2,1,3,5.482,-1.056199305,-3.521364426,2.083357474
owl,6.3,2,2,1,3,4.630666667,-1.056199305,-3.521364426,2.083357474
pal,6.67,2,2,1,3,4.707,-1.056199305,-3.521364426,2.083357474
pan,5.15,2,2,1,3,5.615,-1.056199305,-3.521364426,2.083357474
pap,4.71,2,2,1,3,4.008333333,-1.056199305,-3.521364426,2.083357474
pay,6.23,2,2,1,3,4.023333333,-1.056199305,-3.521364426,2.083357474
pen,5.63,2,2,1,3,7.126666667,-1.056199305,-3.521364426,2.083357474
pep,6.15,2,2,1,3,5.52,-1.056199305,-3.521364426,2.083357474
pro,6.36,2,2,1,3,5.141,-1.056199305,-3.521364426,2.083357474
pry,3.57,2,2,1,3,3.296666667,-1.056199305,-3.521364426,2.083357474
psi,4.59,2,2,1,3,5.074,-1.056199305,-3.521364426,2.083357474
urn,3.37,2,2,1,3,5.164666667,-1.056199305,-3.521364426,2.083357474
yak,4.32,2,2,1,3,3.637666667,-1.056199305,-3.521364426,2.083357474
yap,3.9,2,2,1,3,4.023333333,-1.056199305,-3.521364426,2.083357474
yen,5,2,2,1,3,7.141666667,-1.056199305,-3.521364426,2.083357474
hit,3.95,1,2,1,3,7.372,-2.056199305,-3.521364426,2.083357474
HIV,1.53,1,2,1,3,4.679333333,-2.056199305,-3.521364426,2.083357474
hoe,4.8,1,2,1,3,8.767666667,-2.056199305,-3.521364426,2.083357474
hog,4.55,1,2,1,3,5.205333333,-2.056199305,-3.521364426,2.083357474
hot,5.73,1,2,1,3,7.552333333,-2.056199305,-3.521364426,2.083357474
hub,4.95,1,1,1,3,3.448,-2.056199305,-4.521364426,2.083357474
hue,6.26,1,1,1,3,7.184666667,-2.056199305,-4.521364426,2.083357474
hug,8.23,1,1,1,3,3.622333333,-2.056199305,-4.521364426,2.083357474
hut,5.1,1,1,1,3,5.969333333,-2.056199305,-4.521364426,2.083357474
jib,5.53,1,2,1,3,2.870333333,-2.056199305,-3.521364426,2.083357474
jig,4.95,1,2,1,3,3.044666667,-2.056199305,-3.521364426,2.083357474
job,5.64,1,2,1,3,3.050666667,-2.056199305,-3.521364426,2.083357474
jog,5.81,1,2,1,3,3.225,-2.056199305,-3.521364426,2.083357474
jot,4.79,1,2,1,3,5.572,-2.056199305,-3.521364426,2.083357474
jug,5.45,1,1,1,3,1.642,-2.056199305,-4.521364426,2.083357474
kid,7.23,1,1,1,3,3.997,-2.056199305,-4.521364426,2.083357474
kit,6.1,1,1,1,3,5.598,-2.056199305,-4.521364426,2.083357474
lid,5.14,1,2,1,3,5.081333333,-2.056199305,-3.521364426,2.083357474
lie,2.39,1,2,1,3,7.897666667,-2.056199305,-3.521364426,2.083357474
log,4.94,1,1,1,3,4.515666667,-2.056199305,-4.521364426,2.083357474
low,4.39,1,1,1,3,4.630666667,-2.056199305,-4.521364426,2.083357474
lox,4.74,1,1,1,3,3.894,-2.056199305,-4.521364426,2.083357474
lug,4.58,1,2,1,3,2.932666667,-2.056199305,-3.521364426,2.083357474
lye,4.26,1,2,1,3,6.233666667,-2.056199305,-3.521364426,2.083357474
mid,5.21,1,2,1,3,4.541666667,-2.056199305,-3.521364426,2.083357474
mix,5.71,1,2,1,3,3.174,-2.056199305,-3.521364426,2.083357474
mob,3.7,1,2,1,3,3.801666667,-2.056199305,-3.521364426,2.083357474
mod,5.57,1,2,1,3,4.722,-2.056199305,-3.521364426,2.083357474
mow,4.94,1,2,1,3,4.091,-2.056199305,-3.521364426,2.083357474
mud,5.06,1,1,1,3,3.139,-2.056199305,-4.521364426,2.083357474
mug,4.16,1,1,1,3,2.393,-2.056199305,-4.521364426,2.083357474
nix,4,1,2,1,3,4.621666667,-2.056199305,-3.521364426,2.083357474
nod,5.05,1,2,1,3,6.169666667,-2.056199305,-3.521364426,2.083357474
nut,5.44,1,1,1,3,6.187666667,-2.056199305,-4.521364426,2.083357474
old,3.19,1,1,1,3,5.261666667,-2.056199305,-4.521364426,2.083357474
one,6.09,1,2,1,3,8.986,-2.056199305,-3.521364426,2.083357474
ops,5.05,1,2,1,3,5.254333333,-2.056199305,-3.521364426,2.083357474
opt,4.85,1,2,1,3,6.164,-2.056199305,-3.521364426,2.083357474
pie,6.45,1,2,1,3,7.199,-2.056199305,-3.521364426,2.083357474
pig,4.83,1,2,1,3,3.636666667,-2.056199305,-3.521364426,2.083357474
pit,3.85,1,2,1,3,5.983666667,-2.056199305,-3.521364426,2.083357474
pod,5,1,2,1,3,4.563,-2.056199305,-3.521364426,2.083357474
pot,5.81,1,2,1,3,6.164,-2.056199305,-3.521364426,2.083357474
pox,2.62,1,2,1,3,3.195333333,-2.056199305,-3.521364426,2.083357474
pub,5.45,1,2,1,3,2.059666667,-2.056199305,-3.521364426,2.083357474
pug,5.9,1,2,1,3,2.234,-2.056199305,-3.521364426,2.083357474
pus,2.52,1,2,1,3,3.671333333,-2.056199305,-3.521364426,2.083357474
put,5.09,1,2,1,3,4.581,-2.056199305,-3.521364426,2.083357474
ace,6.37,0,1,-3,3,7.883666667,-3.056199305,-4.521364426,-1.916642526
act,5.64,0,2,-3,3,6.668333333,-3.056199305,-3.521364426,-1.916642526
add,6.23,0,1,-3,3,5.557666667,-3.056199305,-4.521364426,-1.916642526
age,5.78,0,2,-3,3,7.628,-3.056199305,-3.521364426,-1.916642526
art,6.85,0,1,-3,3,7.736666667,-3.056199305,-4.521364426,-1.916642526
