word,happiness_average,LR_switch,finger_switch,rha,word_length,letter_freq,hand_c,finger_c,rha_c
amazed,7.22,2,3,-4,6,5.9615,-0.515839387,-1.620762712,-2.873890234
amazing,7.66,4,5,-1,7,4.934857143,1.484160613,0.379237288,0.126109766
amazon,6.8,3,4,0,6,5.511666667,0.484160613,-0.620762712,1.126109766
ambassador,5.78,4,8,-6,10,5.88,1.484160613,3.379237288,-4.873890234
amber,5.78,2,4,-3,5,6.1508,-0.515839387,-0.620762712,-1.873890234
ambitious,6.52,6,8,1,9,5.738333333,3.484160613,3.379237288,2.126109766
ambulance,3.1,6,7,-1,9,5.472,3.484160613,2.379237288,0.126109766
amen,6.02,3,3,0,4,7.506,0.484160613,-1.620762712,1.126109766
amendment,5.52,8,8,-1,9,7.243333333,5.484160613,3.379237288,0.126109766
america,6.76,4,6,-3,7,6.739571429,1.484160613,1.379237288,-1.873890234
american,6.74,5,7,-2,8,6.74075,2.484160613,2.379237288,-0.873890234
americans,6.5,6,8,-3,9,6.694777778,3.484160613,3.379237288,-1.873890234
americas,6.38,4,7,-4,8,6.688,1.484160613,2.379237288,-2.873890234
amid,5.08,2,3,0,4,5.448,-0.515839387,-1.620762712,1.126109766
amigo,6.28,3,4,1,5,5.4122,0.484160613,-0.620762712,2.126109766
amino,5.1,1,4,3,5,6.359,-1.515839387,-0.620762712,4.126109766
amo,4.84,1,2,1,3,6.026666667,-1.515839387,-2.620762712,2.126109766
among,5.66,2,4,1,5,5.3688,-0.515839387,-0.620762712,2.126109766
amongst,5.68,2,6,-1,7,6.032428571,-0.515839387,1.379237288,0.126109766
amor,6.32,2,3,0,4,6.01675,-0.515839387,-1.620762712,1.126109766
amore,6.51,2,4,-1,5,7.3538,-0.515839387,-0.620762712,0.126109766
amount,5.84,2,4,2,6,6.107166667,-0.515839387,-0.620762712,3.126109766
amounts,5.86,2,5,1,7,6.138571429,-0.515839387,0.379237288,2.126109766
amour,6.6,2,4,1,5,5.365,-0.515839387,-0.620762712,2.126109766
amp,5.44,1,2,1,3,4.167333333,-1.515839387,-2.620762712,2.126109766
amsterdam,6.14,3,8,-5,9,6.607888889,0.484160613,3.379237288,-3.873890234
amy,5.52,1,1,1,3,4.182333333,-1.515839387,-3.620762712,2.126109766
an,4.84,1,1,0,2,7.458,-1.515839387,-3.620762712,1.126109766
analyses,5.55,4,7,-2,8,6.80475,1.484160613,2.379237288,-0.873890234
analysis,5.8,6,7,0,8,6.08775,3.484160613,2.379237288,1.126109766
analyst,5.56,4,6,-1,7,6.352142857,1.484160613,1.379237288,0.126109766
analysts,5.02,4,7,-2,8,6.349,1.484160613,2.379237288,-0.873890234
anata,5.12,2,4,-3,5,8.0612,-0.515839387,-0.620762712,-1.873890234
anche,4.96,4,4,-1,5,7.2988,1.484160613,-0.620762712,0.126109766
ancient,5.6,6,6,-1,7,7.595857143,3.484160613,1.379237288,0.126109766
ancora,5.3,4,5,-2,6,6.559833333,1.484160613,0.379237288,-0.873890234
and,5.22,2,2,-1,3,6.389666667,-0.515839387,-2.620762712,0.126109766
anders,5.04,2,4,-4,6,7.364166667,-0.515839387,-0.620762712,-2.873890234
anderson,5.22,3,6,-2,8,7.305125,0.484160613,1.379237288,-0.873890234
andre,5.32,2,4,-3,5,7.5716,-0.515839387,-0.620762712,-1.873890234
andrea,5.34,2,5,-4,6,7.670833333,-0.515839387,0.379237288,-2.873890234
andrew,5.22,2,5,-4,6,6.703,-0.515839387,0.379237288,-2.873890234
