Word,Valence Mean,LR_switch,finger_switch,rha,word_length,letter_freq,hand_c,finger_c,rha_c
drown,1.92,3,4,-1,5,5.3712,0.482591876,-0.52417795,0.111218569
adult,6.49,2,4,-1,5,5.6518,-0.517408124,-0.52417795,0.111218569
saint,6.49,2,4,-1,5,7.453,-0.517408124,-0.52417795,0.111218569
fault,3.43,2,4,-1,5,5.2468,-0.517408124,-0.52417795,0.111218569
grime,3.37,2,3,-1,5,6.0152,-0.517408124,-1.52417795,0.111218569
gripe,3.14,2,3,-1,5,5.9198,-0.517408124,-1.52417795,0.111218569
crime,2.89,2,4,-1,5,6.1686,-0.517408124,-0.52417795,0.111218569
trunk,5.09,1,2,1,5,5.0644,-1.517408124,-2.52417795,2.111218569
stool,4.56,1,2,1,5,6.8844,-1.517408124,-2.52417795,2.111218569
stink,3,1,4,1,5,5.974,-1.517408124,-0.52417795,2.111218569
venom,2.68,1,4,1,5,6.0684,-1.517408124,-0.52417795,2.111218569
agony,2.43,1,3,1,5,5.2824,-1.517408124,-1.52417795,2.111218569
demon,2.11,1,3,1,5,6.7234,-1.517408124,-1.52417795,2.111218569
cheer,8.1,2,3,-3,5,8.0534,-0.517408124,-1.52417795,-1.888781431
bless,7.19,2,3,-3,5,6.1746,-0.517408124,-1.52417795,-1.888781431
river,6.85,2,4,-3,5,6.524,-0.517408124,-0.52417795,-1.888781431
space,6.78,2,3,-3,5,6.3814,-0.517408124,-1.52417795,-1.888781431
sugar,6.74,2,4,-3,5,5.0508,-0.517408124,-0.52417795,-1.888781431
diver,6.45,2,4,-3,5,6.1772,-0.517408124,-0.52417795,-1.888781431
alert,6.2,2,3,-3,5,7.9874,-0.517408124,-1.52417795,-1.888781431
coast,5.98,2,4,-3,5,6.7678,-0.517408124,-0.52417795,-1.888781431
boxer,5.51,2,4,-3,5,5.5676,-0.517408124,-0.52417795,-1.888781431
tower,5.46,2,4,-3,5,7.5224,-0.517408124,-0.52417795,-1.888781431
quart,5.39,2,3,-3,5,5.2126,-0.517408124,-1.52417795,-1.888781431
blase,4.89,2,4,-3,5,6.5426,-0.517408124,-0.52417795,-1.888781431
board,4.82,2,4,-3,5,5.4812,-0.517408124,-0.52417795,-1.888781431
glass,4.75,2,3,-3,5,5.3722,-0.517408124,-1.52417795,-1.888781431
bored,2.95,2,3,-3,5,6.3882,-0.517408124,-1.52417795,-1.888781431
anger,2.34,2,4,-3,5,7.124,-0.517408124,-0.52417795,-1.888781431
slave,1.84,2,4,-3,5,6.4398,-0.517408124,-0.52417795,-1.888781431
angel,7.53,3,4,-1,5,6.7316,0.482591876,-0.52417795,0.111218569
sleep,7.2,3,3,-1,5,7.537,0.482591876,-1.52417795,0.111218569
charm,6.77,3,4,-1,5,5.0872,0.482591876,-0.52417795,0.111218569
queen,6.44,3,3,-1,5,7.0012,0.482591876,-1.52417795,0.111218569
spray,5.45,3,4,-1,5,4.8768,0.482591876,-0.52417795,0.111218569
black,5.39,3,4,-1,5,3.4476,0.482591876,-0.52417795,0.111218569
rusty,3.86,3,4,-1,5,5.2204,0.482591876,-0.52417795,0.111218569
shark,3.65,3,4,-1,5,5.4694,0.482591876,-0.52417795,0.111218569
sissy,3.14,3,3,-1,5,5.5842,0.482591876,-1.52417795,0.111218569
dirty,3.08,3,3,-1,5,5.6472,0.482591876,-1.52417795,0.111218569
